iter	Passed	Remaining
0	177	353909
1	189	189209
2	201	133812
3	212	106112
4	223	89336
5	235	78139
6	247	70381
7	260	64743
8	271	60113
9	282	56285
10	297	53845
11	310	51380
12	323	49392
13	335	47561
14	347	45953
15	361	44768
16	374	43707
17	388	42830
18	403	42111
19	422	41794
20	437	41269
21	456	41039
22	471	40519
23	483	39827
24	497	39269
25	509	38672
26	521	38108
27	535	37679
28	547	37207
29	561	36843
30	573	36455
31	586	36098
32	600	35817
33	615	35589
34	630	35375
35	644	35175
36	658	34927
37	671	34694
38	684	34421
39	697	34162
40	708	33862
41	719	33555
42	731	33289
43	742	33008
44	754	32758
45	765	32522
46	777	32291
47	787	32044
48	799	31839
49	812	31686
50	823	31473
51	835	31309
52	847	31144
53	860	30998
54	871	30827
55	883	30656
56	895	30508
57	907	30379
58	918	30222
59	933	30189
60	950	30208
61	968	30285
62	990	30466
63	1009	30541
64	1034	30805
65	1052	30833
66	1070	30887
67	1088	30933
68	1104	30919
69	1120	30891
70	1135	30841
71	1149	30785
72	1167	30822
73	1184	30818
74	1200	30809
75	1213	30720
76	1228	30669
77	1244	30675
78	1259	30621
79	1273	30567
80	1286	30478
81	1302	30475
82	1320	30509
83	1337	30506
84	1358	30609
85	1382	30774
86	1403	30860
87	1425	30965
88	1445	31042
89	1463	31067
90	1479	31028
91	1496	31030
92	1511	31000
93	1528	30988
94	1543	30950
95	1560	30959
96	1578	30972
97	1597	30995
98	1615	31017
99	1632	31020
100	1649	31016
101	1666	31003
102	1682	30979
103	1698	30971
104	1715	30958
105	1733	30982
106	1748	30929
107	1763	30894
108	1777	30837
109	1792	30790
110	1805	30720
111	1820	30694
112	1836	30675
113	1866	30882
114	1889	30971
115	1908	31001
116	1928	31038
117	1953	31154
118	1972	31171
119	1990	31179
120	2009	31210
121	2028	31223
122	2045	31221
123	2065	31252
124	2083	31257
125	2109	31373
126	2130	31418
